Bill No.,Auto-generated link,Sponsor(s),Source,Date Received,Bill Description,Committee/Status,Priority,Fellows Approved,Leg Team Approved,Approved for Sign-on,Sent Co-sponsor req.,Date Buckslip Submitted,Notes
S7506A,link,Hoylman-Sigal,Joanna M.,4/10/24,Declares that a law authorizing a child to be removed from their parent or guardian based on the parent or guardian allowing their child to receive gender-affirming care is against the public policy of this state; relates to forum in domestic relations cases.,,1. High,,1. Yes,,1. Yes,,
S8352,link,May,Joanna M.; Constituents 4 opposed 2 favor ,4/10/24,"Allows homeless youth to give effective consent to certain medical, dental, health, and hospital services; provides for insurance coverage of such health care services consented to by such youth.",Health,1. High,,1. Yes,,1. Yes,,
S183,link,Hoylman-Sigal,Joanna M.,4/10/24, Relates to assisting persons with medically diagnosed HIV infection.,Finance,1. High,,1. Yes,,1. Yes,,
S4603A,link,Hoylman-Sigal,Joanna M.,4/10/24,Relates to criminal liability for persons living with sexually transmitted infections who engage in sexual activity; repeals provisions relating to persons knowing themselves to be infected with venereal disease.,Codes,1. High,,1. Yes,,1. Yes,,
S4860,link,Comrie,Denny Sales,4/11/24,Requires high schools in grades nine through twelve to provide a course in financial literacy; requires students to complete such course as a condition of graduation.,Education,1. High,,,,,,
S6733A,link,RIVERA,Commuity Healthcare Network,,"Expands health care services provided by telehealth to include services delivered through a facility licensed under article twenty-eight of the public health law that is eligible to be designated or has received a designation as a federally qualified health center, including those facilities that are also licensed under article thirty-one or article thirty-two of the mental hygiene law.",,1. High,,1. Yes,,,,
S6959,link,RIVERA,Commuity Healthcare Network,,"Provides for the calculation and analysis of certain health center costs.",,1. High,,1. Yes,,,,
S2812,link,Goundares,NYC Red Light Program,,"Increases the number of traffic-control signal photo violation-monitoring devices that may be installed in NYC to 1,325 intersections; extends certain provisions authorizing photo-monitoring devices until December 1, 2030.",Referred to Transportation (1/3/24),1. High,1. Yes,,1. Yes,1. Yes,,
S278A,link,Gounardes,,,"Establishes a course of instruction and learning expectations on climate education in all public pre-kindergarten, elementary and secondary schools which shall include various principles and concepts including environmental justice.",Referred to Education (1/3/24),1. High,,1. Yes,1. Yes,1. Yes,,
S07759,link,Gianaris ,Email,,"""Keep Police Radio Public Act"" Enacts the ""keep police radio public act""; provides that all law enforcement agencies in the state using encryption in radio communications shall adopt a written radio encryption policy; ensures such policy shall provide that, except for sensitive information, all radio communications are accessible to duly authorized media representatives and the general public.",Referred to Finance (1/3/24),1. High,1. Yes,1. Yes,1. Yes,1. Yes,,
S999,link,Hoylman-Sigal,CARE for Immigrant Families,,"Establishes the right to legal counsel in immigration court proceedings; provides for the administration thereof
",Referred to Finance (1/3/24),,1. Yes,,,1. Yes,,
S206a,link,Cleare,Policy Inc.,,"Removes the lifetime ban on jury duty for convicted felons; suspends jury service of any person serving a term of incarceration for a felony conviction during the period of such incarceration.",Referred to Judiciary (1/3/24),1. High,1. Yes,,,1. Yes,,
S2422A,link,Hoylman-Sigal,,,"Relates to establishing speed limits in cities with populations in excess of one million people by easing restrictions so cities can establish speed limits below twenty miles per hour.",Print Number 2422B (2/21/24),1. High,,,,1. Yes,,
S314,link,Salazar,,,"Directs the New York state energy and development authority to establish a ride clean rebate program for electric assist bicycles and electric scooters; defines terms; provides a fifty percent rebate for eligible pucrhases.",Print Number 314A (3/22/24),1. High,,,,1. Yes,,
S3304,link,Hoylman-Sigal,,,"Establishes in the city of New York a bicycle lane safety program to enforce certain restrictions on the use of protected bicycle lanes by means of bicycle lane photo devices.",Referred to Transportation (1/3/24),1. High,,,,1. Yes,,
S2162,link,,Invest in our New York,,"Imposes an additional tax on income attributable to long-term capital gain.",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,
S1980,link,,Invest in our New York,,"Raises the tax rate on corporate income; increases the state conformity to federal taxation of corporate profit shifting; imposes an additional tax on individual business income in response to federal tax benefits for pass-through business income.",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,"implementing a capital gains tax would make up the diference by adding a surcharge on income over $500,000 a year earned through capital gains"
S2059,link,,Invest in our New York,,"Imposes a progressive income tax structure for high income taxpayers
",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,Raising corpoartes taxes on the most profitable corporations in NY
S1570,link,,Invest in our New York,,"Establishes a billionaire mark-to-market tax taxing residents with one billion dollars or more in net assets.",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,Making our income taxes more progressive 
S2782,link,,Invest in our New York,,"Relates to creating a separate tax on inheritance income, creating a separate tax on gift income, the computation of the estate tax, and creating a gift tax.",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,Taxing billionaires wealth 
S2162,link,,The Center for Popular Democracy ,,"Imposes an additional tax on income attributable to long-term capital gain.",Referred to Budget and Revenue (1/3/24),,1. Yes,,,1. Yes,,
S6081b,link,SEPULVEDA,,,"Establishes the homeless protection act which designates certain offenses against homeless persons as hate crimes; includes the definition of homelessness.",Referred to Codes (1/3/24),1. High,1. Yes,1. Yes,1. Yes,,,
S7791,link,GOUNARDES,Jordan Beberman from Bolton St. Johns,,"Enacts the ""faith-based affordable housing act"" for development on residential land; defines terms; provides that each village, town, and city shall allow the construction and occupation of residential buildings on any covered site up to the specified densities; provides that all residential buildings constructed pursuant to this section in a town, village, or city with fewer than one million inhabitants shall set aside twenty percent of the residential floor area for households earning an average of eighty percent of area median income; outlines the densities for New York city; makes related provisions.
","Referred to Housing, Construction and Community Development (1/3/24)",1. High,1. Yes,,2. Maybe,,,"Provisions ensuring that buildings must be mixed-income or 100% affordable housing, which can be either rental or co-op units. Inside NYC, the building must conform to the City's Mandatory Inclusionary Housing (MIH) affordability standards. New buildings cannot dedicate more than 35% of floor area to non-residential purposes (such as religious, educational, charitable, or community facility use). Landowner must submit proof of compliance with Environmental certifications. I do want to know that received a phone call mentioning that this bill is not ADA accessible due to the mention of curb cuts. I will look further into this bill"
S1296,link,Sanders,,,"Relates to informal caregiver training; defines ""person in need of assistance""; expands who may serve as an ""informal caregiver"".",referred to aging (3/21/24),1. High,1. Yes,,,,,Voted Yes 3/2023
S1730,link,Sanders,,,"Requires the office for the aging to develop and provide elder abuse prevention training to train senior service centers and contractors in the detection and reporting of elder abuse in consultation with the office of children and family services.",referred to aging (3/21/24),1. High,1. Yes,,,,,Voted Yes 3/2023
S7621,link,Gounardes,,,"Requires the installation of intelligent speed assistance devices if a driver accumulates eleven or more points on their driving record during an eighteen month period, or receives 6 speed camera or red light camera tickets during a twelve month period.",Referred to Transportation (1/3/24),1. High,1. Yes,,1. Yes,,,Any concerns about bias in application? Speeding tickets/points on the license may not be given to everyone who speeds. Could have disproportionate racial impact. Tickets from the red light cameras are certainly more objective.
S5975,link,Brouk,New York State Chapter,,Repeals the requirement that applicants must pass an examination in order to qualify as a licensed master social worker.,Referred to Transportation (1/3/24),1. High,,1. Yes,2. Maybe,,,
S402A,link,Parker,,,Creates a revolving loan fund through the New York state energy research and development authority for the purpose of building renewable energy storage systems scaled to function as microgrids to power housing owned by the New York city housing authority.,Reported and Committed to Finance (2/27/24),1. High,,,,,,
S6956,link,Myrie,"Student, Faculty and Staff Higher Education Platform",,Requires the commissioner of health to develop a sustainability plan for the state university of New York downstate medical center; provides that such sustainability plan shall not limit or alter the rights of employees pursuant to a collective bargaining agreement.,Print Number 6956A (2/12/24),1. High,,,,,,
S1880,link,Skoufis,"Student, Faculty and Staff Higher Education Platform",,Relates to allowing for students in certain postsecondary education experience or transition programs to receive awards from the tuition assistance program.,,1. High,,,,,,
S2913,link,May,"Student, Faculty and Staff Higher Education Platform",,Provides grants to address food insecurity among students at public institutions for higher education.,,1. High,,,,,,
S3467,link,RIVERA,The Nature of Conserancy,,"Allows a licensed pharmacist to order and administer certain tests.",,1. High,,,,,,
S7839,link,RIVERA,The Nature of Conserancy,,"Provides for the initiation of treatment for COVID-19, influenza, and pharyngitis resulting from a Group A streptococcal infection by a licensed pharmacist in certain circumstances.",,1. High,,,,,,
S310A ,link,Salazar,,,"Establishes the professional practice of community midwifery; defines as the management in the home, birth center, or community setting, of normal pregnancies, child birth, and postpartum care, including newborn evaluation, resuscitation and referral for infants; sets requirements for license and practice.",,1. High,,,,,,
A04022B,link,Hevesi,,,Provides for a working families tax credit; directs quarterly prepayment of the credit; provides for a sliding reduction in the credit for incomes which exceed a certain threshold.,,2. Normal,1. Yes,,,,,
S0900,link,Brisport,Email,,"Prohibits the use of aversive conditioning which includes any procedure which causes obvious signs of physical pain, including but not limited to hitting, pinching and electric shock; prohibits the use of any procedure or punishment which denies a vulnerable person reasonable sleep, shelter, bedding, bathroom facilities and any other aspect expected of a humane existence; defines terms.",,,1. Yes,1. Yes,1. Yes,,,
S01284,link,Hinchey,,,Relates to reimbursement for certain lunch meals served during the declared COVID-19 state of emergency.,,,1. Yes,,,,,
S02514,link,Ramos,,,Directs the office of temporary and disability assistance to promulgate rules and regulations requiring quarterly inspections of homeless shelters.,,,1. Yes,,,,,
S02982,link,Kavanagh,,,Requires shelter allowances be set at up to one hundred percent of the fair market rent for the local social services district.,,,1. Yes,,,,,
S04880B,link,Fernandez,,,"Establishes through the department of health, in conjunction with the office of addiction services and supports, a drug checking services program to allow individuals to bring drugs or controlled substances and have them tested for contaminants, toxic substances, or hazardous compounds.",,,1. Yes,,,,,
S158B,link,Krueger,Conference,,Provides for the protection of health information; establishes requirements for communications to individuals about their health information; requires either written consent or a designated necessary purpose for the processing of an individual's health information.,,,1. Yes,,,,,
S1678A,link,Hinchey,,,Requires all schools in the state that participate in the national school lunch program or school breakfast program as provided in the national child nutrition act to serve breakfast and lunch at no cost to the student.,,,1. Yes,,,,,
S1724A,link,Harckham,,,"Requires motorists to allow at least three feet between vehicle and pedestrians, bicyclists, and wheelchair users when overtaking or passing. Applies outside of NYC. No change to the existing law in NYC which requires a ""safe distance.""",,,1. Yes,,,,,
S3101,link,Brisport,,,Increases salaries for foster care direct care workers; makes an appropriation therefor.,,,1. Yes,,,,,
S3103B,link,Brisport,,,Requires mental health services for incarcerated individuals with mental health issues related to the trauma of incarceration upon reentry and reintegration into society upon release.,,,1. Yes,,,,,
S3219A,link,Cleare,Conference,,"Establishes a uterine fibroids awareness and education program on the symptoms, diagnosis and treatment of uterine fibroids and the elevated risk for minority women.",,,1. Yes,,,,,
S3381A,link,Kennedy,,,"Requires certain documents and forms to be provided in the twelve most common non-English languages spoken by limited English proficient immigrants of five years or less according to the American community survey, as published by the United States census bureau.",,2. Normal,1. Yes,,,,,
S3529A,link,Fernandez,Conference,,"Restricts certain substances from being used in menstrual products, including but not limited to: talc, lead and mercury",,2. Normal,1. Yes,,,,,
S3610,link,Webb,Conference,,Requires certain information about the facility and what types of plans and procedures such facility has in place to be provided to prospective maternity patients.,,,1. Yes,,,,,
S1078A,link,Gounardes,,,Requires that functional epinephrine auto-injector devices be made available in places of public assembly and that at least one employee or volunteer of such place of public assembly be trained in its proper operation and use and be present at each facility function.,,,1. Yes,,,,,
S1106,link,Comrie,,,Requires lithium batteries of less than 1 inch in diameter and products containing such batteries to be labeled with warnings that swallowing such batteries has been known to cause death.,,,1. Yes,,,,,
S1753,link,Sanders,,,Establishes a civil cause of action for employees who are subjected to an abusive work environment; employers shall be vicariously liable for such work environment.,,,1. Yes,,,,,"Won't have to be a member of a protected class to bring suit under this bill, as is typical under employment discrimination statutes"
S277B,link,Gounardes,,,Provides for a working families tax credit; directs quarterly prepayment of the credit; provides for a sliding reduction in the credit for incomes which exceed a certain threshold.,,,1. Yes,,,,,
S5424,link,Martinez,,,Provides for the revocation of a person's driver's license who has been convicted of operating a vessel (boat) while under the influence of alcohol or drugs. ,,,1. Yes,,,,,
S6889,link,Martinez,,,"Enacts ""Bryan Johnson's law""; includes prior convictions of operation of a vessel while under the influence of alcohol or drugs as prior convictions of driving while intoxicated.",,,1. Yes,,,,,
S7791,link,Gounardes,,,"Enacts the ""faith-based affordable housing act"" for development on residential land; defines terms; provides that each village, town, and city shall allow the construction and occupation of residential buildings on any covered site up to the specified densities; provides that all residential buildings constructed pursuant to this section in a town, village, or city with fewer than one million inhabitants shall set aside twenty percent of the residential floor area for households earning an average of eighty percent of area median income; outlines the densities for New York city; makes related provisions.",,,,,,,,
S6869,link,May,,,"Requires the comptroller to retain, from revenues collected from unclaimed bottles, an amount equal to 2% of the total revenues collected in the prior calendar year, for use towards expanding and creating bottle redemption centers under the beverage container assistance program; increases the handling fee paid by deposit initiators to dealers or operators of a redemption center from 3.5 cents to 5 cents",,,1. Yes,,,,,
S8216-A,link,Jackson,CSEA,,Requires that applicants not be prohibited from taking competitive civil service exams if they will meet the minimum age requirement or attain the minimum education requirement within twelve months,,,1. Yes,,,,,
S285,link,May,It Starts with the Arts,,Adds arts and music education as a common school branch that should be incorporated into the public school curriculum to provide a more well-rounded education for children.,,,1. Yes,,,,,
S7927A,link,Hoylman-Sigal,DEC,,"Protects wolves by requiring animals which could be wolves be submitted for a DNA test and, when determined to be wolves, the department take action to protect wolves from being taken in the future.",,,1. Yes,,,,,
S6781,link,Parker,DEC,,"Allows commuter vans to accept hails from prospective passengers in the street.",,1. High,,,,,,
S4198A,link,Comrie,Adirondack Council,,"Enacts the ""New York wildlife crossing act""; directs the department of transportation and the New York state thruway authority to identify sites along all highways, thruways and parkways in the state where wildlife crossings are most needed to increase public safety and improve habitat connectivity and create a priority list of wildlife opportunity areas where federal grant monies may be available to implement the top five projects identified.",,,1. Yes,,,,,Voted YES 04/25/23
S1159A,link,Skoufis,Ordinary People Doing Extraornairy things,,"Requires disclosure of information concerning non-invasive prenatal screening for chromosomal abnormalities including the benefits and limitations of non-invasive prenatal testing, the difference between non-invasive prenatal testing and prenatal diagnostic testing, and current recommendations from the American College of Obstetricians and Gynecologists (ACOG), the Society for Maternal Fetal Medicine, and the American College of Medical Genetics and Genomics (ACMG).",,,1. Yes,,,,,
S3434,link,Skoufis,NY Association on Independent Living,,"Eliminates provisions exempting employees with disabilities from the minimum wage law; provides that laws or minimum wage orders that authorize an employer to pay a wage that is less than the minimum wage are valid provided that under such laws or orders an employee with a disability is paid the same wage as an employee in a comparable position that does not have a disability.",,,1. Yes,,,,,
S1164-A,link,Sanders,NY Association on Independent Living,,"Waives the state's sovereign immunity to liability for violations of the Americans with Disabilities Act of 1990, the Fair Labor Standards Act, the Age Discrimination in Employment Act, and the Family and Medical Leave Act; waives the immunity of all instrumentalities and political subdivisions of the state.",,,,,,,,
S1125,link,Skoufis,NY Association on Independent Living,,"Relates to establishing goals for participation by individuals with disabilities with respect to state employment, state contracts, legislative employment and judicial employment; establishes a goal of seven percent employment of individuals with disabilities within state agencies, the state legislature, unified court system and state contractors and subcontractors; defines terms.",,,1. Yes,,,,,
S763,link,Krueger,NY Association on Independent Living,,Requires access to new homes by persons with disabilities.,,,,,,,,
S4739,link,Kennedy,NY Association on Independent Living,,Requires accessible buses to be available within a service area measuring three miles from any bus line of the authority or its subsidiaries.,,,1. Yes,,,,,
S7793,link,Persaud,NY Association on Independent Living,,Adds certain human services programs to the designated human services programs eligible for a cost of living adjustment.,,,1. Yes,,,,,
S1865A,link,Brouk,American Foundation for Suicide Prevention,,"Requires student identification cards to contain the new national suicide prevention lifeline number, 9-8-8, and the crisis text line, with instructions ""Text GOT5 to 741741"".",,,1. Yes,,,,,Voted Yes 5/30/23 (61 YES 0 NO)
S2708,link,Skoufis,American Foundation for Suicide Prevention,,Requires the installation of climb deterrent fencing on all bridges under the jurisdiction of the New York State Bridge Authority.,,,1. Yes,,,,,
S2359,link,Brouk,American Foundation for Suicide Prevention,,Directs the commissioner of mental health to establish a maternal mental health workgroup to study and issue recommendations related to maternal mental health and perinatal and postpartum mood and anxiety disorders; identifies underrepresented and vulnerable populations and risk factors in the state for maternal mental health disorders that may occur during pregnancy and through the first postpartum year.,,,1. Yes,,,,,
S6709,link,Skoufis,NYS Probation Officers Association INC,,"Enacts the ""Lieutenant Joseph Banish mental health act"" to provide a testimonial privilege to critical incident stress management/crisis response/peer support team members concerning communications made during critical incident stress management/crisis response/peer support services.",,,1. Yes,,,,,
S366,link,Gallivan,NYS Probation Officers Association INC,,Provides optional disability coverage for county probation officers.,,,,,,,,Allows for probation officers to collectively bargaing for on-the-job disability benefits
S3467,link,Rivera,PSSNY,,Allows a licensed pharmacist to order and administer certain tests.,,,1. Yes,,,,,
S4100A,link,Kennedy,American Heart Association,,"Requires automated external defibrillator equipment to be immediately available at school-sponsored events; requires school districts, boards of cooperative educational services, county vocational education and extension boards and charter schools to develop and implement a cardiac emergency response plan.",,,1. Yes,,,,,
S4555b,link,Fernandez,,,"Prohibits the use of intoxication of the victim as a defense in sex crimes where the victim is under the extreme influence of any drug, intoxicant, or other substance to a degree which rendered the victim temporarily incapable of appraising or controlling such person's conduct and such condition was known or reasonably should have been known to a person in the actor's situation.",,,1. Yes,,,,,
S468,link,Sepulveda,,,"Relates to establishing minimum rules for the treatment of incarcerated individuals; provides that the United Nations standard minimum rules for the treatment of prisoners, also known as the Nelson Mandela rules, are hereby incorporated by reference.",,,1. Yes,,,,,
S469,link,Sepulveda,,,Provides for the automatic expungement of records of arrest in certain situations.,,,1. Yes,,,,,
S470,link,Sepulveda,,,Relates to requiring state and local law enforcement officers to identify themselves to the public during law enforcement activities.,,,1. Yes,,,,,
S471,link,Sepulveda,,,Expands the maximum benefit and eligibility requirements for financial assistance for burial arrangements; provides for expedited assistance during a state disaster emergency.,,,1. Yes,,,,,
S472,link,Sepulveda,,,"Directs the department of social services to establish a centralized homelessness crisis response data system through which state agencies, local governmental entities, including law enforcement agencies, court systems, school districts, and emergency service providers, and other relevant persons are able to share and access information related to individuals who experience chronic homelessness in order to connect or refer such individuals to services including affordable housing opportunities.",,,2. Maybe,,,,,Law enforcement agencies would have access to data relating to individuals experiencing chronic homelessness
S473,link,Sepulveda,,,"Provides that a surrogate court clerk or chief clerk shall refuse to accept for filing papers filed in a proceeding only under certain circumstances or as designated in statute, administrative rule or order of the court; provides such reasons; requires the payment of any applicable statutory fees, or an order of the court waiving payment of such fees, before accepting a paper for filing; makes related provisions.",,,1. Yes,,,,,
S474,link,Sepulveda,,,"Relates to appeals of parole determination, including parole release interviews, parole decisions by the board and petitions regarding release decisions.",,,,,,,,
S740,link,Sepulveda,,,Relates to establishing residential treatment facilities as an alternative to incarceration designated by the commissioner for the care and treatment of persons with serious mental illness who are accused of at least one felony level crime.,,,,,,,,
S741,link,Sepulveda,,,Relates to the public release of grand jury documents; releases the district attorney's grand jury charges to the public upon request once the grand jury has reached a final decision.,,,,,,,,
S4866,link,Cooney,COFCCA,,"Establishes the child victims act fund which provides grant awards in reimbursement to public school districts and voluntary foster care agencies located within the state who have been named as defendants in certain child sexual abuse legal cases and in which it can be demonstrated by the public school district or voluntary foster care agency that no insurance policy for the covered period can be located after a good-faith effort to do so has been made, there was a monetary judgment issued or settlement agreement with regard to such action and where it can be demonstrated by the public school district or voluntary foster care agency that payment in full of such judgment or settlement would put a substantial burden on the district's or agency's ability to execute its mission and negatively impact its existing student population.",,,,,,,,
S4883,link,Ramos,CPS,,"Establishes the Early Learning Child Care Act to impose a payroll tax on certain employers for the purposes of addressing child care affordability, accessibility, and quality for families with children under five years of age; establishes the early learning child care fund; establishes the early learning child care program to provide subsidies to covered children to attend early learning child care programs; establishes the New York state child care board.",,,,,,,,
A7531,link,Zinerman,CPS,,Restructures the not-for-profit contracting advisory committee; provides for the issuance of additional reports.,,,,,,,,
S1739,link,Ramos,CPS,,Relates to the regulation of street vendors in cities with a population of one million or more by authorizing such cities to adopt a program to regulate street vendors; requires street vendors to obtain a permit; provides for penalties for failure to comply with such regulations.,,,,,,,,
S987,link,Gounardes,CPS,,"Prohibits and regulates the discovery and disclosure of immigration status; prohibits police officers, peace officers, school resource officers, probation agencies, state entities, state employees, and municipal corporations from questioning individuals regarding their citizenship or immigration status; regulates the disclosure of information relating to immigration status.",,,,,,,,
A7363,link,Septimo,CPS,,Directs the department of environmental conservation to promulgate air quality standards for emissions of certain toxic air contaminants.,,,,,,,,
S5374A,link,Harckham,CPS,,"Prohibits health insurers, health care plans and HMOs from requiring prior authorization for anti-retroviral medication used to treat and prevent HIV infection.",,,,,,,,
S3145A,link,Mannion,CPS,,"Requires vision screening in public schools using examination devices and testing methods as may be authorized in the regulations of the commissioner of education, including but not limited to, the Snellen Eye Test Chart and automated vision screening devices.",,,,,,,,
S5255,link,Sanders,CPS,,Authorizes the commissioner of transportation to conduct a study relating to airborne ultrafine particles; analyzes the impacts of certain large hub commercial airports on airborne ultrafine particles; analyzes the characteristics of such particles; identifies effectiveness of mitigation measures.,,,,,,,,
S5954,link,Mannion,CPS,,"Provides that the Syracuse regional airport authority may acquire, hold, own, lease, establish, construct, effectuate, operate, maintain, renovate, improve, extend or repair any of its facilities through, and cause any one or more of its powers, duties, functions or activities to be exercised or performed by, no more than two wholly owned subsidiary corporations of the authority for the purposes of operating parking and concessions including food, beverage, and retail services, and airline and aircraft services including ticketing, baggage and fueling services and other services for the operation of the airport.",,,,,,,,
S4024,link,Gianaris,CPS,,"Relates to spending by the Metropolitan Transportation Authority; requires the MTA to allocate funds received for tax years 2023-2026 in certain amounts for certain purposes; requires the authority to freeze fares, increase service frequency, and implement a fare-free bus program; requires the MTA to use certain excess monies, if available, to pay off outstanding debts.",,,,,,,,
s8307,link,Budget???,NYS Academy of Family Physicians,,W,,,,,,,,
S7872,link,Rivera,NYS Academy of Family Physicians,,Makes permanent certain provisions relating to modernizing nurse practitioners.,,,,,,,,
,link,,,,,,,,,,,,
S1531,link,Hoylman-Sigal,NYS Academy of Family Physicians,,Requires a health care provider who administers an immunization to a person nineteen years of age or older to report such information to the department of health or to a regional health information organization unless such person objects to such reporting.,,,,,,,,
S1197B,link,Rivera,NYS Academy of Family Physicians,,Requires health care plans and payors to have a minimum of twelve and one-half percent of their total expenditures on physical and mental health annually be for primary care services.,,,,,,,,
